SD,CF(PCU/min),CF*2(PCU/min),%_of_4W,%_of_4W*2,2W,3W
6,12.0,144,11.20,125.40,61.22,27.58
29,26.2,685,23.40,547.56,61.02,17.80
28,28.6,820,23.40,547.76,64.60,12.00
25,27.8,774,22.30,497.12,60.64,15.96
14,24.6,605,11.03,121.77,66.64,27.40
21,26.3,692,24.81,615.46,62.65,15.05
10,6.0,36,15.94,254.16,79.07,7.84
18,26.5,700,18.11,327.90,64.11,27.08
9,17.0,289,9.19,84.39,63.47,19.12
16,22.0,484,5.96,35.55,65.77,24.32
16,26.4,695,14.03,196.90,70.33,8.33
14,23.7,564,15.00,225.00,74.19,20.16
14,23.8,567,5.71,32.65,71.00,14.00
13,19.0,362,5.68,32.28,82.86,11.43
13,17.3,300,11.00,121.00,76.14,18.18
13,5.5,30,17.20,295.78,74.64,12.86
24,24.5,600,25.00,625.00,74.03,8.18
11,20.8,432,11.36,129.13,66.30,6.52
5,12.1,147,18.75,351.56,70.45,18.18
9,7.2,51,4.90,24.05,66.67,14.58
9,14.6,214,3.23,10.41,82.06,10.87
8,14.8,220,10.69,114.25,70.97,22.58
8,8.6,74,4.30,18.50,69.77,17.24
7,10.3,105,2.30,5.29,89.25,6.45
6,13.0,169,5.67,32.11,78.57,20.71
10,18.09,330.24,3.92,15.37
10,18.09,330.24,3.92,15.37
10,18.09,330.24,3.92,15.37
16,22.0,484,5.96,35.55,65.77,24.32
16,26.4,695,14.03,196.90,70.33,8.33
14,23.7,564,15.00,225.00,74.19,20.16
14,23.8,567,5.71,32.65,71.00,14.00
13,19.0,362,5.68,32.28,82.86,11.43
13,17.3,300,11.00,121.00,76.14,18.18
13,5.5,30,17.20,295.78,74.64,12.86
24,24.5,600,25.00,625.00,74.03,8.18
11,20.8,432,11.36,129.13,66.30,6.52
